wordpress: 127.0.0.1 [16/Aug/2019:10:44:15 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?ids=1" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:17 +0500] "GET /wp-admin/edit.php?post_status=trash&post_type=post HTTP/1.1" "http://wordpress/wp-admin/edit.php?ids=1" 200 13612 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:17 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=post" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:18 +0500] "GET /wp-admin/post.php?post=1&action=delete&_wpnonce=7cf5c46ebf HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=post" 302 469 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:18 +0500] "GET /wp-admin/edit.php?post_status=trash&post_type=post&deleted=1 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=post" 200 10999 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:19 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=post" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:26 +0500] "GET /wp-admin/edit.php?post_type=page HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=post" 200 12641 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:26 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:28 +0500] "GET /wp-admin/post.php?post=3&action=trash&_wpnonce=98c26b58ea HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page" 302 457 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:28 +0500] "GET /wp-admin/edit.php?post_type=page&trashed=1&ids=3 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page" 200 12471 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:29 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page&ids=3" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:30 +0500] "GET /wp-admin/post.php?post=2&action=trash&_wpnonce=f89579c561 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page&ids=3" 302 457 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:30 +0500] "GET /wp-admin/edit.php?post_type=page&trashed=1&ids=2 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page&ids=3" 200 9966 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:30 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page&ids=2" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:32 +0500] "GET /wp-admin/edit.php?post_status=trash&post_type=page HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_type=page&ids=2" 200 12453 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:32 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=page" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:36 +0500] "GET /wp-admin/post.php?post=2&action=delete&_wpnonce=f4efbb9f92 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=page" 302 469 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
